,date,VTI_adjclose,AGG_adjclose,SP_adjclose
115,20040618,39.63087845,58.09453583,1135.02002
116,20040621,39.53311157,58.17017365,1130.300049
117,20040622,39.63812637,58.1468811,1134.410034
118,20040623,40.04728317,58.10040283,1144.060059
119,20040624,39.97124481,58.32135391,1140.650024
120,20040625,39.92779922,58.3038826,1134.430054
121,20040628,39.71706009,58.11198044,1133.349976
122,20040629,39.88782501,58.00732422,1136.199951
123,20040630,40.04771042,58.46670151,1140.839966
124,20040701,39.65891266,58.54078674,1128.939941
125,20040702,39.55719376,58.91417694,1125.380005
126,20040706,39.2374382,58.87332535,1116.209961
127,20040707,39.26288223,58.83835983,1118.329956
128,20040708,38.91405487,58.9025116,1109.109985
129,20040709,39.03397751,58.72747803,1112.810059
130,20040712,39.02306366,58.9025116,1114.349976
131,20040713,39.09210587,58.83835983,1115.140015
132,20040714,38.91405487,58.87332535,1111.469971
133,20040715,38.81960297,58.76250458,1106.689941
134,20040716,38.64156342,59.15336609,1101.390015
135,20040719,38.64156342,59.06583023,1100.900024
136,20040720,38.91405487,58.90832901,1108.670044
137,20040721,38.26005554,58.76830292,1093.880005
138,20040722,38.39086533,58.89663696,1096.839966
139,20040723,37.96936417,59.03081894,1086.199951
140,20040726,37.85673523,58.75663376,1084.069946
141,20040727,38.23099518,58.62249756,1094.829956
142,20040728,38.26005554,58.70999908,1095.420044
143,20040729,38.50349045,58.57584381,1100.430054
144,20040730,38.62339401,59.00750351,1101.719971
145,20040802,38.72148132,58.99112701,1106.619995
146,20040803,38.42355728,59.07306671,1099.689941
147,20040804,38.32180405,59.20179749,1098.630005
148,20040805,37.67868805,59.24279785,1080.699951
149,20040806,37.15184021,59.62322235,1063.969971
150,20040809,37.16273117,59.66413116,1065.219971
151,20040810,37.60603714,59.50615311,1079.040039
152,20040811,37.51155472,59.54711151,1075.790039
153,20040812,37.09735107,59.67001343,1063.22998
154,20040813,37.15549088,59.78706741,1064.800049
155,20040816,37.62419128,59.71680832,1079.339966
156,20040817,37.81315231,59.89237213,1081.709961
157,20040818,38.26731491,59.69924927,1095.170044
158,20040819,38.15104675,59.89822006,1091.22998
159,20040820,38.47078705,59.72267151,1098.349976
160,20040823,38.38357925,59.74021149,1095.680054
161,20040824,38.32180405,59.7460556,1096.189941
162,20040825,38.66336823,59.7518959,1104.959961
163,20040826,38.64519501,59.86310196,1105.089966
164,20040827,38.7869072,59.90407944,1107.77002
165,20040830,38.51074982,59.96261597,1099.150024
166,20040831,38.64519501,59.96261597,1104.23999
167,20040901,38.71786499,60.1786499,1105.910034
168,20040902,39.15387344,59.93796158,1118.310059
169,20040903,39.02306366,59.90859985,1113.630005
170,20040907,39.29556274,59.90269852,1121.300049
171,20040908,39.13206482,60.08472824,1116.27002
172,20040909,39.21200562,60.0259819,1118.380005
173,20040910,39.47362137,60.1551857,1123.920044
174,20040913,39.53538895,60.21386719,1125.819946
175,20040914,39.6516571,60.27844238,1128.329956
176,20040915,39.40457153,60.24324036,1120.369995
177,20040916,39.5317421,60.42520905,1123.5
178,20040917,39.6516571,60.17277908,1128.550049
179,20040920,39.49905777,60.43106461,1122.199951
180,20040921,39.75338364,60.41346741,1129.300049
181,20040922,39.20837402,60.61304092,1113.560059
182,20040923,39.04122543,60.43106461,1108.359985
183,20040924,39.12843704,60.4487114,1110.109985
184,20040927,38.93042755,60.43106461,1103.52002
185,20040928,39.14192581,60.53087997,1110.060059
186,20040929,39.22945023,60.18453979,1114.800049
187,20040930,39.29508209,60.2726059,1114.579956
188,20041001,39.92957306,60.16477585,1131.5
189,20041004,40.06085968,60.18247604,1135.170044
190,20041005,40.04990768,60.17655563,1134.47998
191,20041006,40.29423904,60.06466293,1142.050049
192,20041007,39.92957306,60.06466293,1130.650024
193,20041008,39.59773636,60.35916138,1122.140015
194,20041011,39.6925621,60.41805267,1124.390015
195,20041012,39.60504913,60.35916138,1121.839966
196,20041013,39.31330872,60.44744492,1113.650024
197,20041014,38.96325684,60.73601913,1103.290039
198,20041015,39.17476273,60.62412643,1108.199951
199,20041018,39.34613037,60.57113647,1114.02002
200,20041019,38.9997139,60.60059357,1103.22998
201,20041020,39.01066208,60.81254578,1103.660034
202,20041021,39.18933487,60.65947723,1106.48999
203,20041022,38.83562088,60.80667877,1095.73999
204,20041025,38.80644608,60.87733459,1094.800049
205,20041026,39.41907501,60.70067215,1111.089966
206,20041027,39.90404892,60.56522751,1125.400024
207,20041028,39.88581085,60.63594055,1127.439941
208,20041029,40.0025177,60.79485703,1130.199951
209,20041101,40.06085968,60.66435623,1130.51001
210,20041102,39.96605301,60.61127472,1130.560059
211,20041103,40.48385239,60.74116135,1143.199951
212,20041104,41.11833954,60.68801117,1161.670044
213,20041105,41.26421356,60.53449631,1166.170044
214,20041108,41.16210556,60.31600189,1164.890015
215,20041109,41.2058754,60.45772934,1164.079956
216,20041110,41.22774887,60.38686371,1162.910034
217,20041111,41.61428833,60.44589233,1173.47998
218,20041112,41.97164154,60.51681519,1184.170044
219,20041115,42.00081253,60.54629517,1183.810059
220,20041116,41.75284576,60.48732758,1175.430054
221,20041117,41.99715805,60.64076233,1181.939941
222,20041118,42.06279373,60.66435623,1183.550049
223,20041119,41.5522995,60.54042053,1170.339966
224,20041122,41.82577896,60.63488007,1177.23999
225,20041123,41.84036636,60.59943008,1176.939941
226,20041124,42.08103561,60.65846634,1181.76001
227,20041126,42.08103561,60.48135757,1182.650024
228,20041129,41.98989105,60.31600189,1178.569946
229,20041130,41.89871979,60.34552765,1173.819946
230,20041201,42.44202805,60.11929321,1191.369995
